start work: n_jobs=15, start=1646772987.9157164
[0.0, 0.10471975511965977] starts in 1646772987.9219272
[0.3141592653589793, 0.41887902047863906] starts in 1646772987.9225142
[0.41887902047863906, 0.5235987755982988] starts in 1646772987.9225986
[0.20943951023931953, 0.3141592653589793] starts in 1646772987.9225347
[0.10471975511965977, 0.20943951023931953] starts in 1646772987.9225273
[0.5235987755982988, 0.6283185307179586] starts in 1646772987.9228983
[0.6283185307179586, 0.7330382858376183] starts in 1646772987.9229305
[0.7330382858376183, 0.8377580409572781] starts in 1646772987.9229493
[0.8377580409572781, 0.9424777960769379] starts in 1646772987.9229684
[0.9424777960769379, 1.0471975511965976] starts in 1646772987.923265
[1.1519173063162573, 1.2566370614359172] starts in 1646772987.9233255
[1.0471975511965976, 1.1519173063162573] starts in 1646772987.923315
[1.2566370614359172, 1.361356816555577] starts in 1646772987.9233942
[1.361356816555577, 1.4660765716752366] starts in 1646772987.9236755
[1.4660765716752366, 1.5707963267948966] starts in 1646772987.923699

